书名,作者,出版社,ISBN,页数,出版年,定价
为何家会伤人,武志红,北京联合出版公司,9787550230491,328,2014/7/1,39.80元
医治受伤的自信,[法]弗雷德里克•方热著,生活·读书·新知三联书店，生活书店出版有限公司,9787807681427,320,2016/8/1,42
人性的优点,戴尔·卡耐基,中国城市,9787507417074,246,2006-2-1,19.80元
自我与防御机制,[奥]安娜·弗洛伊德,华东师范大学出版社,9787567575189,160,2018-11-1,25.00元
叔本华思想随笔,[德]阿图尔·叔本华,上海人民出版社,9787208081185,328,2008-10-1,34.00元
萨提亚家庭治疗模式,（美）萨提亚,世界图书出版公司,9787506286558,349,2007-6-1,36.00元
遇谁都能聊得开,[美]莉尔·朗兹,上海社会科学院出版社,9787552014617,320,2016-8-1,36.80元
多样性红利,斯科特•佩奇(ScottE.Page),浙江教育出版社,9787553673851,,2018-9-1,99.90元
有限与无限的游戏,[美]詹姆斯·卡斯,电子工业出版社,9787121364259,200,2019-5-1,35
男人来自火星，女人来自金星2,[美]约翰·格雷,吉林文史出版社,9787547203477,304,2010-11-1,29.80元
动机与人格,[美]亚伯拉罕·马斯洛,中国人民大学出版社,9787300158655,325,2012-7-1,38.00元
如何化解内心的焦虑,【美】卡伦.霍妮,中国致公出版社,9787514512564,256,2018-6-1,39.8
Maps of Meaning,JordanB.Peterson,Routledge,9780415922227,564,1999-3-26,USD73.95
不妥协的谈判,[美]丹尼尔·夏皮罗,中信出版集团,9787508693354,432,2019-3-1,68
梦的解析：漫画版,[美]丹尼尔·夏皮罗,云南美术出版社,9787548929031,184,2017-11-1,25.80元
哪来的天才？,[美]杰夫·科尔文绘,中信出版社,9787508616681,266,2009-9-1,28.00元
心理学史（第6版）,[美]托马斯·哈代·黎黑,上海人民出版社,9787208114944,502,2013-12-1,65
意识的解释,[美]丹尼尔·丹尼特,北京理工大学出版社,9787564009618,598,2008-9-1,39.00元
爱得太多的女人,[美]罗宾·诺伍德,北京联合出版公司,9787550203167,252,2011-11-1,28.00元
社会心理学（插图第7版）,[美]埃利奥特·阿伦森/[美]提摩太·D·威尔逊/[美]罗宾·M·埃克特,世界图书出版公司,9787510048630,587,2012-9-1,80.00元
人类动机,（美）弗兰肯（Pranken，R.F.）,陕西师范大学出版社,9787561332627,450,2005-10-1,54
Marva Collins’ Way,MarvaCollins,Tarcher,9780874775723,242,1990-9-1,USD14.95
恋爱心理学：愿你被男人温柔相待,乐子丫头,江苏凤凰科学技术出版社,9787553771908,280,2016-10-1,38
全脑教养法,丹尼尔·西格尔,浙江人民出版社,9787213053757,187,2013-4-1,39.90元
人性中的善良天使,[美]斯蒂芬·平克,中信出版集团·见识城邦,9787521706437,980,2019-7-1,128
FBI教你读心术,[美]乔·纳瓦罗/[美]马文·卡尔林斯,吉林文史出版社,9787547206294,294,2011-5-16,32.80元
电车难题,[美]托马斯?卡思卡特,北京大学出版社,9787301243459,164,2014-7-1,28
《当你开始爱自己，全世界都会来爱你》,周梵,北京理工大学出版社有限责任公司,9787568240697,236,2017-7-1,39
爱和自由,孙瑞雪,中国妇女出版社,9787802037472,286,2009-7-1,26.80元
我战胜了抑郁症,【澳】格雷姆•考恩（GraemeCowan）,人民邮电出版社,9787115407580,229,2015-12-1,45
自我·群体·社会,【美】道格拉斯•肯里克等,中国人民大学出版社,9787300131832,382,2011-4-1,69.80元
神经衰弱和强迫观念的根治法,[日]森田正马,人民卫生出版社,9787117024860,243,2006-9-1,15.00元
为何母爱会伤人,[美]贾丝明·李·科里,读创|北京联合出版公司,9787559636461,336,2020-5-1,54.00元
自体心理学的理论与实践,怀特/韦纳,中国轻工业出版社,9787501991068,216,2013-2-1,32.00元
反内耗,于德志,天地出版社,9787545548761,280,2019-6-1,45
克服完美主义,(英)罗兹·沙夫曼/(英)莎拉·伊根/(英)特蕾西·韦德,上海社会科学院出版社,9787552022087,272,2018-6-1,38.00元
有序,[美]丹尼尔•列维汀,中信出版社,9787508686318,516,2018-4-28,68
不确定状况下的判断,丹尼尔·卡尼曼/保罗·斯洛维奇,中国人民大学出版社,9787300169330,649,2013-1-1,85.00元
焦虑型人格自救手册,[英]安娜·威廉姆森/[英]瑞塔·纽厄尔/[美]贝丝·伊万丝(绘),北京日报出版社/阳光博客,9787547733219,264,2019-8-1,58
人性中的善与恶,[美]阿比盖尔·马什,中信出版集团股份有限公司,9787508695471,,2019-5-1,59
西西弗斯的神话,[法]阿尔贝·加缪,江苏文艺出版社,9787539953809,278,2012-8-1,32.00元
害羞心理学,[美]菲利普·津巴多,中国人民大学出版社,9787300110721,254,2009-10-1,39.80元
乌合之众-“慢读”系列,[法]古斯塔夫·勒庞,北京联合出版公司,9787550267329,259,2015-12-1,CNY39.80
单身社会,[美]克里南伯格,上海文艺出版社,9787532155224,,2015-2-1,32.00元
不焦虑了,安藤俊介,北京联合出版公司,9787559629166,,2019-5-1,42.00元
第五项修炼,[美]彼得·圣吉,中信出版社,9787508616827,455,2009-10-1,58.00元
应对焦虑(九种消除焦虑恐惧和忧虑的简单方法),埃德蒙·伯恩（EdmundBourne）/洛娜·加拉诺（LornaGarano）,机械工业出版社,9787111579564,181,2017-9-13,42
语言学的邀请,塞缪尔·早川SamuelHayakawa/艾伦·早川AlanHayakawa,北京大学出版社,9787301259702,299,2015-7-1,48.00元
神经质的实质与治疗,森田正马,人民卫生出版社,9787117017442,179,1992-5-1,10.50元
离经叛道,亚当·格兰特/AdamGrant,浙江大学出版社,9787308157186,280,2016-7-1,49
孤獨的冷漠：逃避型依戀障礙的分析與修復,岡田尊司,聯合文學,9789863232124,,2017-5-15,330NTD
心理统计学（第3版）,B.H.科恩,华东师范大学出版社,9787561782057,935,2011-2-1,98.00元
电影与新心理学,[法]莫里斯·梅洛-庞蒂,商务印书馆,9787100166676,163,2019-4-1,45
硅谷禁书,查尔斯·哈尼尔,中国华侨出版社,9787802223417,242,1905-6-29,29.80元
