code,name,current,percentage
SZ002709,天赐材料,47.27,-2.33
SZ002594,比亚迪,278.26,-1.57
SH603185,上机数控,149.54,0.17
SZ002460,赣锋锂业,82.59,-1.88
SH601633,长城汽车,30.98,-3.46
SZ002466,天齐锂业,107.59,-1.75
SZ000821,京山轻机,20.99,-1.36
SH000821,300红利,5677.30,0.06
SH600703,三安光电,24.74,-2.29
SH600563,法拉电子,186.51,-1.34
SZ002240,盛新锂能,52.01,-1.76
SZ159949,创业板50ETF,1.101,-1.96
SZ003022,联泓新科,50.48,-3.48
SZ000858,五粮液,159.07,0.08
SH000858,500信息,6493.12,-1.65
SH603799,华友钴业,73.00,-3.13
SZ000831,五矿稀土,26.50,-1.19
SH000831,500低贝,10001.98,0.12
SH600111,北方稀土,30.29,-1.62
SZ002518,科士达,44.73,1.24
SH600760,中航沈飞,65.24,1.45
SH600862,中航高科,25.75,4.67
SZ002297,博云新材,9.07,6.58
SH603005,晶方科技,24.51,-1.96
SH600338,西藏珠峰,28.65,0.35
SH600406,国电南瑞,26.15,-1.32
SH600711,盛屯矿业,7.20,-0.83
SZ159863,光伏ETF基金,1.109,-0.45
SZ002202,金风科技,13.12,-0.98
SH603158,腾龙股份,8.38,-1.41
SZ000799,酒鬼酒,136.31,-0.45
SZ002487,大金重工,49.23,-2.69
SH600021,上海电力,12.39,10.04
SZ002639,雪人股份,10.78,0.28
SH600362,江西铜业,16.94,0.12
SH601919,中远海控,13.26,-1.34
SH603986,兆易创新,115.30,-1.14
SZ002612,朗姿股份,24.17,0.79
SH601865,福莱特,41.54,-1.1
SZ002068,黑猫股份,17.31,-4.73
